,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
138,Zambia,22,+6, ,,,22,,1,
139,Bermuda,17,+2, ,,2,15,,273,
140,Ethiopia,16,+4, ,,,16,,0.1,
141,Maldives,16,+3, ,,9,7,,30,
142,New Caledonia,15,+1, ,,,15,,53,
143,El Salvador,13,, ,,,13,,2,
144,Tanzania,13,, ,,1,12,,0.2,
145,Djibouti,12,+1, ,,,12,,12,
146,Equatorial Guinea,12,, ,,,12,,9,
147,Dominica,11,, ,,,11,,153,
148,Mali,11,+7, ,,,11,,0.5,
149,Mongolia,11,, ,,,11,,3,
150,Saint Martin,11,, ,,,11,,284,
151,Niger,10,,1 ,,,9,,0.4,0.04
152,Bahamas,10,+1, ,,1,9,,25,
153,Greenland,10,+4, ,,2,8,,176,
154,Eswatini,9,+3, ,,,9,,8,
155,Cayman Islands,8,,1 ,,,7,,122,15
156,Curaçao,8,+1,1 ,,2,5,,49,6
157,Guinea,8,+4, ,,,8,,0.6,
158,Haiti,8,, ,,,8,,0.7,
159,Myanmar,8,+3, ,,,8,,0.1,
160,Namibia,8,, ,,2,6,,3,
161,Suriname,8,, ,,,8,,14,
162,Gabon,7,,1 ,,,6,,3,0.4
163,Antigua and Barbuda,7,, ,,,7,,71,
164,Grenada,7,, ,,,7,,62,
165,Mozambique,7,, ,,,7,,0.2,
166,Seychelles,7,, ,,,7,,71,
167,Benin,6,, ,,,6,,0.5,
168,Eritrea,6,, ,,,6,,2,
169,Laos,6,, ,,,6,,0.8,
170,Cabo Verde,5,,1 ,,,4,,9,2
171,Guyana,5,,1 ,,,4,,6,1
172,Zimbabwe,5,+2,1 ,,,4,,0.3,0.07
173,Fiji,5,, ,,,5,,6,
174,Montserrat,5,, ,,,5,,"1,002",
175,St. Barth,5,+2, ,,,5,,506,
176,Syria,5,, ,,,5,,0.3,
177,Nepal,4,+1, ,,1,3,,0.1,
178,Angola,4,, ,,,4,,0.1,
179,Congo,4,, ,,,4,,0.7,
180,Vatican City,4,, ,,,4,,"4,994",
181,Gambia,3,,1 ,,,2,,1,0.4
182,Sudan,3,,1 ,,,2,,0.07,0.02
183,Bhutan,3,+1, ,,,3,,4,
184,CAR,3,, ,,,3,,0.6,
185,Chad,3,, ,,,3,,0.2,
186,Liberia,3,, ,,,3,,0.6,
187,Mauritania,3,, ,,,3,,0.6,
188,Saint Lucia,3,, ,,1,2,,16,
189,Sint Maarten,3,, ,,,3,,70,
190,Somalia,3,+1, ,,,3,,0.2,
191,Nicaragua,2,,1 ,+1,,1,,0.3,0.2
192,Anguilla,2,, ,,,2,,133,
193,Belize,2,, ,,,2,,5,
194,British Virgin Islands,2,, ,,,2,,66,
195,Guinea-Bissau,2,, ,,,2,,1,
196,Saint Kitts and Nevis,2,, ,,,2,,38,
197,Turks and Caicos,2,, ,,,2,,52,
198,Libya,1,, ,,,1,,0.1,
199,Papua New Guinea,1,, ,,,1,,0.1,
200,St. Vincent Grenadines,1,, ,,,1,,9,
201,Timor-Leste,1,, ,,,1,,0.8,
202,Total:,"594,344","62,479","27,251","3,178","132,622","434,471","23,663",76.2,3.5
